title,rating,mpaa
"Bling-Ring,-The",5.6,"Rated R for teen drug and alcohol use, and for language including some brief sexual references"
Blood-and-Wine,6.1,Rated R for violence and language
Blood-Simple,7.7,
Blow,7.6,"Rated R for pervasive drug content and language, some violence and sexuality"
Blue-Valentine,7.4,"Rated R on appeal for strong graphic sexual content, language, and a beating (re-rating on appeal)"
Blue-Velve,7.8,
"Bodies,-Rest-&-Motion",5.6,Rated R for language and sexuality
Body-Hea,7.4,
Body-of-Evidence,4.3,"Rated R for violence, language and a scene of sexuality"
Bodyguard,6.1,Rated R for language
Bonfire-of-the-Vanities,5.5,Rated R for language
Bonnie-and-Clyde,7.9,Rated R for violence (re-rating) (2007)
Boogie-Nights,7.9,"Rated R for strong sex scenes with explicit dialogue, nudity, drug use, language and violence"
"Book-of-Eli,-The",6.9,Rated R for some brutal violence and language
"Boondock-Saints,-The",7.9,"Rated R for strong violence, language and sexual content (edited for re-rating after appeal)"
Boondock-Saints-2-All-Saints-Day,6.3,"Rated R for bloody violence, language and some nudity"
Bound,7.4,"Rated R for strong sexuality, violence and language"
"Bounty-Hunter,-The",3.8,"Rated R for language, violence and some sexuality/nudity"
"Bourne-Identity,-The",7.9,Rated PG-13 for violence and some language
"Bourne-Supremacy,-The",7.8,"Rated PG-13 for violence and intense action, and for brief language"
"Bourne-Ultimatum,-The",8.1,Rated PG-13 for violence and intense sequences of action
"Box,-The",5.6,"Rated PG-13 for thematic elements, some violence and disturbing images"
Bravehear,8.4,Rated R for brutal medieval warfare
Break,8.5,
Breakdown,6.9,Rated R for strong violence/terror and language
"Breakfast-Club,-The",7.9,
Breaking-Away,7.7,
Brick,6.3,"Rated PG for sequences of action and scary images, and brief mild language"
Bridesmaids,6.8,"Rated R for some strong sexuality, and language throughout"
Bringing-Out-the-Dead,6.8,"Rated R for gritty violent content, drug use and language"
Broadcast-News,7.2,
Broken-Arrow,6.0,Rated R for strong action violence and language
Broken-Embraces,7.2,"Rated R for sexual content, language and some drug material"
"Brothers-Bloom,-The",6.8,"Rated PG-13 for violence, some sensuality and brief strong language"
Bruce-Almighty,6.7,"Rated PG-13 for language, sexual content and some crude humor"
Bull-Durha,7.1,
Buried,7.0,Rated R for language and some violent content
Burlesque,6.4,"Rated PG-13 for sexual content including several suggestive dance routines, partial nudity, language and some thematic material"
Burn-After-Reading,7.0,"Rated R for pervasive language, some sexual content and violence"
Burning-Annie,5.6,
"Butterfly-Effect,-The",7.7,"Rated R for violence, sexual content, language and brief drug use"
Cable-Guy,6.0,Rated PG-13 for dark thematic elements and crude humor
Candle-to-Water,5.7,
Capote,7.4,Rated R for some violent images and brief strong language
Carrie,7.4,
Cars-2,6.3,
Case-39,6.2,Rated R for violence and terror including disturbing images
Casino,8.2,"Rated R for strong brutal violence, pervasive strong language, drug use and some sexuality"
Cast-Away,,
Catch-Me-If-You-Can,8.0,Rated PG-13 for some sexual content and brief language
Catwoman,3.3,Rated PG-13 for action violence and some sensuality
Cecil-B.-Demented,6.2,"Rated R for strong crude sexual content, violence, language and drug use"
Cedar-Rapids,6.3,"Rated R for crude and sexual content, language and drug use"
Celeste-&-Jesse-Forever,6.6,"Rated R for language, sexual content and drug use"
"Cell,-The",6.3,"Rated R for bizarre violence and sexual images, nudity and language"
Cellular,6.5,"Rated PG-13 for violence, terror situations, language and some sexual references"
"Change-Up,-The",6.3,"Rated R for pervasive strong crude sexual content and language, some graphic nudity and drug use"
Changeling,7.8,"Rated R for some violent and disturbing content, and language"
Chaos,6.5,Rated R for violence and language
Charade,8.0,
Charlie's-Angels,5.5,"Rated PG-13 for action violence, innuendo and some sensuality/nudity"
Chasing-Amy,7.3,"Rated R for strong graphic sex-related dialogue, language, sexuality and drug content"
Chasing-Sleep,6.4,"Rated R for language, violence, some sexuality and drug content"
Cherry-Falls,5.1,"Rated R for strong violence/gore, teen sexuality, language and some drug content"
Chinatown,8.2,
Christ-Complex,6.7,
Chronicle,7.1,"Rated PG-13 for intense action and violence, thematic material, some language, sexual content and teen drinking"
"Chronicles-of-Narnia-The-Lion,-the-Witch-and-the-Wardrobe",6.9,Rated PG for battle sequences and frightening moments
"Cider-House-Rules,-The",7.4,"Rated PG-13 for mature thematic elements, sexuality, nudity, substance abuse and some violence"
"Cincinnati-Kid,-The",7.3,
Cinema-Paradiso,8.5,Rated R for some sexuality (director's cut) (2002)
Cirque-du-Freak-The-Vampire's-Assistan,5.9,"Rated PG-13 for sequences of intense supernatural violence and action, disturbing images, thematic elements and some language"
Citizen-Kane,8.4,
City-of-Joy,6.4,Rated PG-13 for scenes of brief strong violence
Clash-of-the-Titans,5.8,"Rated PG-13 for fantasy action violence, some frightening images and brief sensuality"
Clerks,7.8,Rated R on appeal for extensive use of extremely explicit sex-related dialogue (re-rating on appeal)
