title,rating,mpaa
"Sweet-Hereafter,-The",7.7,Rated R for sexuality and some language
Sweet-Smell-of-Success,8.2,
Swordfis,6.5,"Rated R for violence, language and some sexuality/nudity"
"Synecdoche,-New-York",7.5,Rated R for language and some sexual content/nudity
Syriana,7.0,Rated R for violence and language
Take-Shelter,7.4,Rated R for some language
Taking-Lives,6.2,"Rated R for strong violence including disturbing images, language and some sexuality"
"Taking-of-Pelham-One-Two-Three,-The",7.7,
Taking-Sides,7.2,
"Talented-Mr.-Ripley,-The",7.3,"Rated R for violence, language and brief nudity"
Tall-in-the-Saddle,7.1,
Tamara-Drewe,6.2,Rated R for language and some sexuality
Taxi-Driver,4.6,
Ted,7.0,"Rated R for crude and sexual content, pervasive language, and some drug use"
Terminator-2-Judgement-Day,8.5,"Rated R for strong sci-fi action and violence, and for language"
Terminator-Salvation,6.6,"Rated PG-13 for intense sequences of sci-fi violence and action, and language"
Terminator,8.0,
The-Rage-Carrie-2,4.6,"Rated R for strong graphic horror violence and gore, brief strong sexuality and language"
Thelma-&-Louise,7.4,"Rated R for strong language, and for some violence and sensuality"
They,4.8,"Rated PG-13 for terror/violence, sexual content and language"
"Thing,-The",9.0,
"Things-My-Father-Never-Taught-Me,-The",7.9,
Thirteen-Days,7.3,Rated PG-13 for brief strong language
This-Boy's-Life,7.3,Rated R for strong language and sexuality
This-is-40,6.2,"Rated R for sexual content, crude humor, pervasive language and some drug material"
Thor,7.0,Rated PG-13 for sequences of intense sci-fi action and violence
Three-Kings-(Spoils-of-War),7.1,"Rated R for graphic war violence, language and some sexuality"
Three-Kings,7.1,"Rated R for graphic war violence, language and some sexuality"
Three-Men-and-a-Baby,5.4,
"Three-Musketeers,-The",5.8,Rated PG-13 for sequences of adventure action violence
Thunderbirds,6.8,
Thunderhear,6.8,"Rated R for language, and for some areas of violence"
Ticker,3.5,Rated R for violence and language
Timber-Falls,5.3,"Rated R for strong bloody horror violence, torture, language and some sexuality"
"Time-Machine,-The",6.4,"Rated R for strong crude and sexual content, nudity, drug use and pervasive language"
Tin-Cup,6.3,Rated R for language and brief nudity
Tin-Men,6.5,
Tinker-Tailor-Soldier-Spy,7.1,"Rated R for violence, some sexuality/nudity and language"
Titanic,7.7,"Rated PG-13 for disaster related peril and violence, nudity, sensuality and brief language"
TMNT,6.3,"Rated PG for animated action violence, some scary cartoon images and mild language"
To-Sleep-with-Anger,7.2,
Tombstone,7.8,Rated R for violence
Tomorrow-Never-Dies,6.5,"Rated PG-13 for intense sequences of action violence, sexuality and innuendo"
Total-Reca,7.5,
"Tourist,-The",6.0,Rated PG-13 for violence and brief strong language
Toy-Story,8.3,
Traffic,7.6,"Rated R for pervasive drug content, strong language, violence and some sexuality"
Training-Day,,
Trainspotting,8.2,"Rated R for graphic heroin use and resulting depravity, strong language, sex, nudity and some violence"
Transformers-The-Movie,7.3,
Tristan-and-Isolde,6.9,Rated PG-13 for intense battle sequences and some sexuality
TRON-Legacy,6.8,Rated PG for sequences of sci-fi action violence and brief mild language
TRON,6.8,
Tropic-Thunder,7.0,"Rated R for pervasive language including sexual references, violent content and drug material"
True-Gri,7.7,Rated PG-13 for some intense sequences of western violence including disturbing images
True-Lies,7.2,Rated R for a lot of action/violence and some language
True-Romance,8.0,"Rated R for strong violence and language, and for sexuality and drug use"
"Truman-Show,-The",8.1,Rated PG for thematic elements and mild language
Twilig,5.2,Rated PG-13 for some violence and a scene of sensuality
Twilight-New-Moon,4.6,Rated PG-13 for some violence and action
Twin-Peaks,8.9,
Twins,6.0,
Two-For-The-Money,6.2,"Rated R for pervasive language, a scene of sexuality and a violent act"
U-Turn,6.8,"Rated R for strong violence, sexuality and language"
"Ugly-Truth,-The",6.5,Rated R for sexual content and language
Un-Singe-en-Hiver,,
Unbreakable,7.2,"Rated PG-13 for mature thematic elements including some disturbing violent content, and for a crude sexual reference"
Under-Fire,7.1,
Unknown,6.9,"Rated PG-13 for some intense sequences of violence and action, and brief sexual content"
Up-in-the-Air,7.4,Rated R for language and some sexual content
Up,8.3,Rated PG for some peril and action
V-for-Vendetta,8.2,Rated R for strong violence and some language
Valkyrie,7.1,Rated PG-13 for violence and brief strong language
Vanilla-Sky,6.9,Rated R for sexuality and strong language
"Verdict,-The",7.8,
Very-Bad-Things,6.3,"Rated R for strong, grisly violence, sexuality, drug use and language"
"Village,-The",6.5,Rated PG-13 for a scene of violence and frightening situations
Virtuosity,5.5,"Rated R for strong futuristic violence, some brutal beatings and some language"
"Visitor,-The",7.7,Rated PG-13 for brief strong language
Wag-the-Dog,7.1,Rated R for language
"Walk-to-Remember,-A",7.4,"Rated PG for thematic elements, language and some sensual material"
Walking-Ta,8.6,
Wall-E,8.4,
Wall-Stree,8.2,"Rated R for sequences of strong sexual content, graphic nudity, drug use and language throughout, and for some violence"
Wall-Street-Money-Never-Sleeps,6.3,Rated PG-13 for brief strong language and thematic elements
Wanted,6.7,"Rated R for strong bloody violence throughout, pervasive language and some sexuality"
War-Horse,7.2,Rated PG-13 for intense sequences of war violence
War-of-the-Worlds,6.5,Rated PG-13 for frightening sequences of sci-fi violence and disturbing images
Warm-Springs,7.7,
Warrior,8.2,"Rated PG-13 for sequences of intense mixed martial arts fighting, some language and thematic material"
Watchmen,7.6,"Rated R for strong graphic violence, sexuality, nudity and language"
Water-for-Elephants,6.9,Rated PG-13 for moments of intense violence and sexual content
"Way-Back,-The",7.3,"Rated PG-13 for violent content, depiction of physical hardships, a nude image and brief strong language"
We-Own-the-Nig,6.9,"Rated R for strong violence, drug material, language, some sexual content and brief nudity"
What-About-Bob%3f,7.0,
What-Lies-Benea,6.6,"Rated PG-13 for terror/violence, sensuality and brief language"
When-a-Stranger-Calls,5.0,"Rated PG-13 for intense terror, violence and some language (Approved No. 42003)"
While-She-Was-Ou,4.8,Rated R for strong violence and language
"Whistleblower,-The",7.2,"Rated R for disturbing violent content including a brutal sexual assault, graphic nudity and language"
White-Christmas,7.6,
White-Jazz,,
"White-Ribbon,-The",7.8,Rated R for some disturbing content involving violence and sexuality
White-Squa,6.6,Rated PG-13 for some sexuality and a traumatic shipwreck
Whiteou,5.5,"Rated R for violence, grisly images, brief strong language and some nudity"
Who's-Your-Daddy,4.8,"Rated R for strong sexual content, crude humor and language"
Who-Framed-Roger-Rabbit%3f,7.7,
Wild-At-Hear,7.2,
"Wild-Bunch,-The",8.0,
Wild-Hogs,5.9,"Rated PG-13 for crude and sexual content, and some violence"
Wild-Things-Diamonds-in-the-Roug,4.5,"Rated R for strong sexual content, language and some violence"
Wild-Things,6.5,"Rated R for strong sexuality, nudity, language and some violence (original rating) (classification #35561)"
Wild-Wild-Wes,4.8,"Rated PG-13 for action violence, sex references and innuendo"
Willow,7.3,
Win-Win,,
Wind-Chi,5.9,Rated R for some violence and disturbing images
Withnail-and-I,7.8,
Witness,7.4,
"Wizard-of-Oz,-The",8.1,
"Wolf-of-Wall-Street,-The",8.2,"Rated R for sequences of strong sexual content, graphic nudity, drug use and language throughout, and for some violence"
Wonder-Boys,7.4,Rated R for language and drug content
"Woodsman,-The",7.2,"Rated R for sexuality, disturbing behavior and language"
"World-is-not-Enough,-The",6.4,"Rated PG-13 for intense sequences of action violence, some sexuality and innuendo"
"Wrestler,-The",7.9,"Rated R for violence, sexuality/nudity, language and some drug use"
"X-Files-Fight-the-Future,-The",7.1,
X-Men-Origins-Wolverine,6.7,"Rated PG-13 for intense sequences of action and violence, and some partial nudity"
xXx,5.8,"Rated PG-13 for violence, non-stop action sequences, sensuality, drug content and language"
Year-One,4.9,"Rated PG-13 for crude and sexual content throughout, brief strong language and comic violence"
Yes-Man,6.8,"Rated PG-13 for crude sexual humor, language and brief nudity"
You-Can-Count-On-Me,7.7,"Rated R for language, some drug use and a scene of sexuality"
Youth-in-Revo,6.5,"Rated R for sexual content, language and drug use"
Zero-Dark-Thirty,7.4,"Rated R for strong violence including brutal disturbing images, and for language"
Zerophilia,6.3,
