window_0,window_1,window_2,predicted_cluster,title,delta_happy,gross,year,rating,mpaa,Sci-Fi,Crime,Romance,Animation,Msic,Comedy,War,Horror,nan,Film-Noir,Msical,Reality-TV,Thriller,Western,Mystery,Short,Talk-Show,Drama,Action,History,Family,Adventre,Docmentary,Fantasy,Sport,Biography
-0.427651333224,1.49645254639,-0.236574029338,0.0,Analyze-This,0,106694016.0,1999.0,6.7,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.406887754166,-1.04235024919,1.253789848,1.0,Angel-Eyes,0,24044532.0,2001.0,5.6,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.309581811163,-0.537183839137,-0.0870285927274,2.0,Angels-&-Demons,1,133375846.0,2009.0,6.7,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.0200234563574,0.192649121546,-0.732787710164,2.0,Anna-Karenina,1,12802907.0,2012.0,6.6,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.706818039209,-2.30336231025,3.94739163378,1.0,"Anniversary-Party,-The",0,4013506.0,2001.0,6.3,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.746427530501,-0.337672378708,0.0582065514631,3.0,Antitrus,1,10965209.0,2001.0,6.1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
-0.0575666163853,0.270097947783,-0.276691463759,3.0,Antz,1,90646554.0,1998.0,6.6,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0.33719837789,-0.747707842546,0.0930627751259,1.0,Apocalypse-Now,0,78800000.0,1979.0,8.5,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.20867389152,2.23739392252,-2.83520727247,0.0,Apt-Pupi,1,8838938.0,1998.0,6.7,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.20624606833,1.09768133078,-1.62958620171,0.0,Arbitrage,1,7918283.0,2012.0,6.6,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.415810944982,0.0269614517411,-0.0386023870383,2.0,Argo,0,136019448.0,2012.0,7.7,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
-0.503332950441,0.701549664962,-1.16598373259,0.0,Armageddon,1,201573391.0,1998.0,6.6,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
-0.570200060484,-0.708159070509,-2.15588804479,2.0,Army-of-Darkness,1,11501093.0,1992.0,7.6,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-1.09561516999,1.7916124009,-0.228946932736,0.0,"Artist,-The",0,44667095.0,2011.0,7.9,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.037042599793,-1.30991912001,1.40318614219,1.0,As-Good-As-It-Gets,1,147637474.0,1997.0,7.7,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.651859931342,-0.199979878589,1.31262945906,3.0,Assassins,1,30306268.0,1995.0,6.3,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.54113024206,0.061204797413,0.727860015525,3.0,August-Osage-County,0,37738400.0,2013.0,7.2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.631040196292,3.51083465795,-4.2482118534,0.0,Austin-Powers---International-Man-of-Mystery,0,53868030.0,1997.0,7.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.60451786538,-2.87491997971,1.47144387778,1.0,Austin-Powers---The-Spy-Who-Shagged-Me,0,205399422.0,1999.0,6.6,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
-0.682230361575,-0.850388281755,0.933218667272,3.0,Autumn-in-New-York,0,37752931.0,2000.0,5.5,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
