title,genre
Cherry-Falls,"[u'Comedy', u'Horror', u'Mystery', u'Romance', u'Thriller']"
Chinatown,"[u'Drama', u'Mystery', u'Thriller']"
Christ-Complex,"[u'Comedy', u'Fantasy']"
Chronicle,"[u'Sci-Fi', u'Thriller']"
"Chronicles-of-Narnia-The-Lion,-the-Witch-and-the-Wardrobe","[u'Adventure', u'Family', u'Fantasy']"
"Cider-House-Rules,-The","[u'Drama', u'Romance']"
"Cincinnati-Kid,-The",[u'Drama']
Cinema-Paradiso,[u'Drama']
Cirque-du-Freak-The-Vampire's-Assistan,"[u'Action', u'Adventure', u'Fantasy', u'Thriller']"
Citizen-Kane,"[u'Drama', u'Mystery']"
City-of-Joy,[u'Drama']
Clash-of-the-Titans,"[u'Action', u'Adventure', u'Fantasy']"
Clerks,[u'Comedy']
Cliffhanger,"[u'Action', u'Adventure', u'Thriller']"
Cobb,"[u'Biography', u'Drama', u'Sport']"
Code-of-Silence,"[u'Action', u'Crime', u'Drama', u'Thriller']"
Cold-Mountain,"[u'Adventure', u'Drama', u'History', u'Romance', u'War']"
Collatera,"[u'Drama', u'Romance']"
Collateral-Damage,"[u'Action', u'Drama', u'Thriller']"
Colombiana,"[u'Action', u'Crime', u'Drama', u'Thriller']"
Color-of-Nig,"[u'Mystery', u'Romance', u'Thriller']"
Commando,"[u'Action', u'Adventure', u'Thriller']"
Conan-the-Barbarian,"[u'Adventure', u'Fantasy']"
Confessions-of-a-Dangerous-Mind,"[u'Biography', u'Comedy', u'Crime', u'Drama', u'Romance', u'Thriller']"
Confidence,"[u'Crime', u'Thriller']"
Constantine,"[u'Drama', u'Fantasy', u'Horror', u'Thriller']"
"Cooler,-The","[u'Crime', u'Drama', u'Fantasy', u'Romance']"
Coraline,"[u'Animation', u'Family', u'Fantasy']"
Coriolanus,"[u'Drama', u'Thriller', u'War']"
Cowboys-&-Aliens,"[u'Action', u'Sci-Fi', u'Thriller', u'Western']"
Cradle-2-the-Grave,"[u'Action', u'Crime', u'Drama', u'Thriller']"
Crank,"[u'Action', u'Crime', u'Thriller']"
Cras,"[u'Crime', u'Drama', u'Thriller']"
"Crazy,-Stupid,-Love","[u'Comedy', u'Drama', u'Romance']"
Crazylove,"[u'Comedy', u'Drama', u'Romance']"
Creation,"[u'Biography', u'Drama', u'Romance']"
Crime-Spree,"[u'Action', u'Comedy', u'Crime']"
"Croods,-The","[u'Animation', u'Adventure', u'Comedy', u'Family', u'Fantasy']"
"Crouching-Tiger,-Hidden-Dragon","[u'Action', u'Adventure', u'Fantasy', u'Romance']"
Croupier,"[u'Crime', u'Drama']"
"Crow,-The","[u'Action', u'Drama', u'Fantasy']"
"Crow-City-of-Angels,-The","[u'Action', u'Fantasy', u'Thriller', u'Crime']"
Cruel-Intentions,"[u'Drama', u'Romance']"
Crying-Game,"[u'Crime', u'Drama', u'Romance', u'Thriller']"
"Curious-Case-of-Benjamin-Button,-The","[u'Drama', u'Fantasy', u'Romance']"
Custody,[u'Drama']
"Damned-United,-The","[u'Biography', u'Drama', u'Sport']"
Dances-with-Wolves,"[u'Adventure', u'Drama', u'Western']"
Dark-City,"[u'Action', u'Drama', u'Mystery', u'Sci-Fi', u'Thriller']"
"Dark-Knight-Rises,-The","[u'Action', u'Thriller']"
Dark-Star,"[u'Comedy', u'Sci-Fi']"
Darkman,"[u'Action', u'Crime', u'Fantasy', u'Sci-Fi', u'Thriller']"
Date-Nig,"[u'Comedy', u'Crime', u'Romance', u'Thriller']"
Dave-Barry's-Complete-Guide-to-Guys,[u'Comedy']
Dawn-of-the-Dead,"[u'Action', u'Horror', u'Thriller']"
Day-of-the-Dead,"[u'Action', u'Drama', u'Horror', u'Thriller']"
"Day-the-Clown-Cried,-The",[u'Drama']
"Day-the-Earth-Stood-Still,-The","[u'Drama', u'Sci-Fi', u'Thriller']"
Days-of-Heaven,"[u'Drama', u'Romance']"
Dead-Poets-Society,"[u'Comedy', u'Drama']"
Death-at-a-Funera,[u'Comedy']
Death-to-Smoochy,"[u'Comedy', u'Crime', u'Drama', u'Thriller']"
"Debt,-The","[u'Drama', u'Thriller']"
Deception,"[u'Crime', u'Drama', u'Mystery', u'Romance']"
Deep-Cover,
Deep-Rising,"[u'Action', u'Adventure', u'Horror', u'Sci-Fi']"
"Deer-Hunter,-The","[u'Drama', u'War']"
Defiance,"[u'Action', u'Drama', u'Sci-Fi']"
"Departed,-The","[u'Crime', u'Drama', u'Thriller']"
"Descendants,-The",
Despicable-Me-2,"[u'Animation', u'Adventure', u'Comedy', u'Family']"
Detroit-Rock-City,"[u'Comedy', u'Music']"
Devil's-Advocate,"[u'Drama', u'Mystery', u'Thriller']"
Devil-in-a-Blue-Dress,"[u'Crime', u'Drama', u'Mystery', u'Thriller']"
Die-Hard-2,"[u'Action', u'Thriller']"
Die-Hard,"[u'Action', u'Thriller']"
Diner,"[u'Comedy', u'Drama']"
"Distinguished-Gentleman,-The","[u'Comedy', u'Crime']"
Disturbia,"[u'Drama', u'Mystery', u'Thriller']"
Django-Unchained,"[u'Drama', u'Western']"
Do-The-Right-Thing,"[u'Comedy', u'Drama']"
Dog-Day-Afternoon,"[u'Action', u'Biography', u'Crime', u'Drama']"
Dogma,"[u'Adventure', u'Comedy', u'Drama', u'Fantasy']"
Donnie-Brasco,"[u'Biography', u'Crime', u'Drama']"
"Doors,-The","[u'Biography', u'Drama', u'Music', u'Musical']"
Double-Indemnity,"[u'Crime', u'Drama', u'Film-Noir', u'Mystery', u'Thriller']"
Drag-Me-to-He,"[u'Comedy', u'Horror', u'Thriller']"
Dragonslayer,"[u'Action', u'Adventure', u'Fantasy']"
Drive-Angry,"[u'Action', u'Fantasy', u'Thriller']"
Drive,"[u'Crime', u'Drama']"
Drop-Dead-Gorgeous,"[u'Comedy', u'Romance', u'Thriller']"
"Dry-White-Season,-A","[u'Drama', u'Thriller']"
Duck-Soup,"[u'Comedy', u'Musical', u'War']"
Dumb-and-Dumber,[u'Comedy']
Dune,"[u'Action', u'Adventure', u'Sci-Fi']"
E.T,"[u'Family', u'Sci-Fi']"
Eagle-Eye,"[u'Action', u'Mystery', u'Thriller']"
Eastern-Promises,"[u'Crime', u'Mystery', u'Thriller']"
Easy-A,"[u'Comedy', u'Drama', u'Romance']"
Ed-TV,"[u'Comedy', u'Drama']"
Ed-Wood,"[u'Biography', u'Comedy', u'Drama']"
Edward-Scissorhands,"[u'Drama', u'Fantasy', u'Romance']"
Eight-Legged-Freaks,"[u'Action', u'Comedy', u'Horror', u'Sci-Fi', u'Thriller']"
El-Mariachi,"[u'Action', u'Thriller']"
Election,"[u'Comedy', u'Drama', u'Romance']"
"Elephant-Man,-The","[u'Biography', u'Drama']"
Elizabeth-The-Golden-Age,"[u'Biography', u'Drama', u'History', u'War']"
Enoug,"[u'Comedy', u'Drama', u'Romance']"
Entrapmen,"[u'Action', u'Crime', u'Romance', u'Thriller']"
Erik-the-Viking,"[u'Comedy', u'Adventure', u'Fantasy']"
Erin-Brockovic,"[u'Biography', u'Drama']"
Escape-From-L.A,"[u'Action', u'Adventure', u'Sci-Fi', u'Thriller']"
